ID,VideoType,Text,Likes 
41,official,"I love Suno — as a dyslexic autistic guy who’s always writing tunes, it’s been a game-changer. I’ve had pages of lyrics collecting dust for years, and now they’re finally becoming real music. 🙌",33
42,official,"it wouldbe nice to be able to add ""intelligent"" harmonies to a vocal melody or an instrument solo so that the harmonies take into consideration diatonic chord changes, passing tones, voice leading, etc... and be able to choose how many harmony voices are needed, and whether the voices are higher or lower that the melody, and whether male or female. Also to be able to add a multi voice choir with the same requirements",6
43,official,"I just got back into music in July (2025) after a long period of other (family) commitments. I spent 15 years of my life taking care of my mom 24/7. She had dementia and died in March. 

What I've been doing is taking a song or song idea that I have written on guitar and composing it on Guitar Pro software. Some old songs, some new. Sometimes I will dream a song and as soon as I wake up, immediately go to my guitar to try to recreate the song or melody that is in my head. No matter how trivial the song or lyrics may seem at the time. Sometimes the melody is fleeting and if I don't work out the song right away, it will just escape me and I can't ever seem to get the right rhythm and melody back. 

Once I get the song down, the first thing I do is work out the tempo, then start composing on Guitar Pro, which uses MIDI and RSE (realistic sound engine) to create the sounds of the instruments. I always use the RSE sounds. I compose multi-tracks, usually rhythm and lead guitar, bass, drums, sometimes synthesizer and a vocal melody track. I've been using a jazz piano RSE for the vocal melody. Once I'm happy with the composition, I'll export an mp3 of the composition, then upload the mp3 to SUNO for AI to interpret my song. 

The vocal melody track has been the most problematic thing to try to get AI to understand that THIS is the melody that goes with the lyrics that I have written. I've had some pretty decent results, though. 

So far I have only ever done one song where I only wrote the lyrics and had AI completely compose the music. It is in a post-hardcore style. 

I went through a creative period in July and August and in the period of about a month, from the end of July to the end of August, I published 10 of my own songs (which I label in the caption ""original music and lyrics, AI-interpreted""), plus that one AI-composed song where I only wrote the lyrics. I published 3 versions of one of my songs, one alt version and one extended version with lyrics from a 19th century poem (that is in the public domain), which I used to perform at open mic. So 13 published songs altogether.  

I haven't done a whole lot musically in September or October. I've written a few songs, one as recently as yesterday (16 oct 2025), but I haven't published any of them yet. 

It's a cheap way of at least putting out a version of my songs without having to record them in the traditional manner.",1
44,official,"Feature request – The ability to recreate single instruments. Say for example I recorded an acoustic guitar track on a 6 string, to be able to have it recreated with say a 12 string guitar, without adding additional instruments. Although stem extraction is pretty good, it’s not perfect. This way you can create stems without extracting them. BTW, Suno is fantastic!",5
45,official,"I've been waiting anxiously for this. I only discovered Suno about a month ago and I have been using 4.5 to make incredible covers of songs I produced in my own studio. However, I have had issues where one cover is perfect except for a mispronunciation or something , and I can never fix it. Repeated covers are not the same. I'm hoping to leverage the new capabilities in Studio to go back and fix a few things. 

Also, I have a duet that has different vocals for the male and female parts, sometimes in harmony, but sometimes in counterpoint, and Suno has been unable to deal with this. Now, I'm hoping I can make a cover with the male vocal part, and then another cover with the female vocal, and then finally integrate them into one project. I am praying that this will work.",9
46,official,"Feature request: Multiple adjustable weight prompt styles. ""A jazzy pop song"" = ""20℅ Jazz + 80% Pop"". Thinking fine-tuning the style.",1
47,official,Just Wow! Suno Rocks. You guys just keep making Suno better. Suno is the best thing that happened to music production.,45
48,official,This is amazing. This is why AI was made for in the music business. I love it! :),3
49,official,"I really like Suno, but in some situations I end up spending a lot of credits trying to get close to the result I actually need. For example, in some versions of songs I generate in Suno, I really like the vocal interpretation, but when I separate the voice from the instrumental it naturally comes with artifacts. I did a lot of research and found that there are some ways to improve this, such as remastering in the most current model or creating a cover, but the best results I’ve had so far were precisely by creating covers. Many times, in the cover, I ask Suno to recreate the a cappella, meaning to sing it again while imitating the tone, but without adding any extra effects or elements, as if it were a clean studio recording, in raw mode. The problem is that it’s very difficult to achieve this consistently, and usually I need many attempts before I can use small sections of it.

The same difficulty happens with some instrumental elements. For example, sometimes I like a pad in a certain version, but when I separate it, it comes mixed with other instruments or melodies. Then I try to recreate it in cover mode in an isolated way, but the result is not as faithful to the progression, timing, or tone. This also happens when I record a guitar solo and ask Suno to make its version of my solo in an isolated way. In some cases, it even delivers a wonderful tone, but then it starts mixing in other things that shouldn’t be there, not respecting the isolated request. The same happens with backing vocals: even when I separate the stems, to get a clearer and higher-quality result I need to use the cover option, but again I face difficulties in keeping the purity of the execution.

Another issue is the difference between model versions. I managed to get better results with isolation prompts in version 4, but the audio quality in that version is not comparable to versions 4.5, 4.5 Plus, or version 5. This creates a limitation, because with the older model I can isolate better, but I don’t get the same audio quality that the newer versions provide.

As a music producer, I create my arrangements, I play the instruments, but I don’t sing. So it would be extremely useful to be able to use voices generated in Suno in raw mode, keeping only the interpretation without any extra processing, so that I could insert them directly into professional productions. The same would apply to other isolated elements, as if they were clean samples of specific instruments. Right now, I end up spending a lot of credits trying to achieve this, and most of the time I can only get small usable sections.

That’s why I would like to know if I am doing something wrong in the current workflow, if there is already a way to achieve this level of isolation in Suno, or if this is still a feature that needs to be improved in the platform so that it becomes possible.",10
50,official,"Suno is knocking it out of the park, leading the way in AI music, I cannot wait to see what else you guys are coming out with.",3
51,official,SUNO V5 is amazing. I can feel the difference which is what we need on updates.,1
52,official,"Can you also please release the track in the video? After watching this video multiple times it's stuck in my head. Tried searching ""See you then"" on Suno and didn't see it",1
53,official,"would like to thank the developers for creating something magical. Bark AI (TTS) was already incredible for my own projects back then, but what they have done with Suno is simply unreal.",6
54,official,"I'm loving this! REQUEST - in the creator portion of Suno, could you add a simple field with which we could make a quick notation of how good (or not) a version was on a scale of 1-5 or something? Currently, it's either thumbs up, thumbs down, or no notation. I'd like to have an easy way of spotting the versions that have the most promise. Thank you!",2
55,official,"This new step you've taken is truly exciting. I created my YouTube channel because of Suno, and I have no regrets whatsoever. You've given me so much satisfaction with the songs I've managed to pull out of your magic hat, thank you! face-blue-smiling",3
56,official,"Suno is what a lot of us creatives have been waiting for.From playing around with sounds to making full songs,Suno is definitely a game changer❤",1
57,official,That's awesome that you started to make official tutorials,4
58,official,"Please please add color code option to songs and stems (like right click / select color).  Like if I made 10 covers of a song I want to be able to color code them like greens are the best yellows are ok and blues are need to work on them...  
also When playing a song in a playlist it is super hard to see which one is playing. There might be a better, more obvious way to show which one is playing on the user interface.",1
59,official,"After creating stems, deviations occur, especially in the vocal section, that are not originally part of the track. In other words, unwanted sounds that do not belong to the track appear within the track. Stems are currently malfunctioning. Will there be any improvements regarding this?",1
60,official,"You guys seriously lit a fire in me! I’m finally going to finish and release the songs I wrote 15 years ago but never recorded. I want to breathe new life into them, create fresh arrangements, make them sound modern, and then record my vocals in the studio. Thank you for reminding me why I love making music and for inspiring me to create again! 🎶🔥",1
61,official,I was wonder if there was a way to clean up just one instrument or voices? if they sound to robotic atm and looking for a cleaning version without artifacts in the music.,1
62,official,"Just want to thank you for everything of Suno that can make some very niche dreams come true! Now we can write basically one-man musicals or operas with your help!
Hoping to see features like voice changer (male to female vocals, regular voices to vocal fry and such), more variations, more potential!",13
63,official,I use it every day. One of my songs created with Suno was well received by my peers and the local community.,1
64,official,"As someone who’s used Suno from the start, I’m super excited to use this for my first serious upcoming project. I used to make meme music but now I’m working on a professional sounding album that’s more serious and this will be a game changer. I’ve always used AI as a tool, not just to make the song for me. And this will be amazing for customising and actually making instrumentals with great flexibility. 

Btw. Any rappers out there I’m taking features for the project if anyone is interested 🔥 

Suno Studio will allow me to make my best work yet, and hopefully be taken seriously as an artist.",3
65,official,"Hi Guys,
what you’ve achieved with SUNO 5.0 is absolutely brilliant. Huge respect to the development team and everyone who contributed to this project—from the initial idea to the implementation, and of course to the QA team as well :).

I’m not a professional DJ, mastering engineer, or anything like that, but I’d love to see SUNO include a feature that gives us a bit more control over the final sound—a kind of “mini mastering tool” would be a dream.

For example: the ability to tweak vocals (make them warmer, richer, clearer), adjust individual stems so the bass can be smoother or punchier, and so on.

I understand that certain sections can be regenerated through SUNO, but often all it needs is a little “mini tuning” to make the track sound more polished and professional.

A “Mini Mastering” feature would be amazing :)",1
66,official,"I haven't wrote or recorded music in 5 years, with Suno you guys gave me that spark and inspiration back! This truly is the future of music production. You guys are amazing!",3
67,official,This is top notch production can imagine new songs being hummed into a masterpiece billboards!,1
68,official,Amazing! This is what I've been waiting for! ❤,4
69,official,Simply amazing.  What a time to be alive. Aquick question though and possibly a deal breaker... is every single move you do in studio going to cost credits.,1
70,official,"Absolute awesome!
I have waited all life for something like this enableling me to put music to my song texts I have written.
I hope you also can make a module to generate notes in the future",1
71,official,"I'd like to be able to train instruments in my own style. E.g. Create a Rhythm guitar with my own grunge distortion sound. Ideally, I'd like to be able to upload a bunch of songs to have it mimic my instrument sounds.",1
72,official,"Thanks Suno, by Suno , i could achieve one of my dreams that i could turn my poems into songs i love.",0
73,official,"What I love about this tool is it allows songwriters to more profoundly convey their ideas as fully arranged productions.  With that said, it would be amazing to add a feature/button at each stem after they have been parsed to bring up the musical notation of each stem.  This way, a user/producer could then grab these PDFs and send out to musicians to re-record parts that can then be incorporated back into the track... or so a group could perform the tune live.  And for the entire tune, generating a lyric sheet with Chords would be amazing as a general guide for a band wanting to perform the tune.",17
74,official,"Please work on the timing! When taking songs and audio and stems into my DAW after Suno (Ia popular workflow for many producers) the timing is always off, sometimes just a little but it's time consuming to have to re-time everything. Also Exporting .WAV takes forever and I have to do it individually, stem by stem, and each stem takes minutes to generate the download for some reason. also if you can choose the sample rate for download that would be amazing. ALSO a way to set project key!! ALSO, when you are in studio and select create and add backing vocals, it will almost always add backing vocals but then randomly so many other instruments (when that wasn't what I wanted, by clearly selecting backing vox). ALSO an exclude option in the studio editor would be amazing. Also, the UI gets very messy and it gets impossible to find the tracks your looking for, so maybe some work on making things easier to navigate and less confusing. Also, I'd like to know if the songs I upload (my own original unreleased music) is being trained on Suno AI, I don't want that to happen so an option for that would be great. Other than that, this is scary good and the future of music production, bravo guys!",2
75,official,"This is incredible, after years with my lyrics saved I can put them on to play Verdede. Thank you Suno",1
76,official,"Thank you for the great tool!
Last week I've generated sax solo based on the notes I need.
Two days ago I've re-recorded that AI sax with the real saxophonist.
Very useful!
Rays of love from Ukraine 💛💙",25
77,official,"Loving Suno Studio so far & haven't yet begun. Does Suno have the ability to produce an original track while retaining the vocal as close as possible to the original... and with vocal overdubs, can it process/produce the vocal, correcting timing, pitch, adding harmonies etc... while retaining the natural timbre, tone & pitch of the original?",1
78,official,amazing. For guitar-centric tracks would really hope to be able to separate rhythm guitar and lead guitar into their own distinctive stems. Thanks.,5
79,official,"I’m loving Suno - it’s become my new hobby … I’m unearthing my poetry from 20 years ago and transforming it into music ! 

A few requests to the Suno dev team:

- Ability to retain the same voice/persona for multiple songs. If one likes how a voice renders there should be a feature to save that voice for future projects
- Right now each time one does a master the voice/tone/instrumentals  change (as expected) but there should be more control over WHAT one wants changed in each iteration….i may like the original beat but just want the voice changed ….ie stem specific 

- I have a 100+ songs in my playlist …feels very cluttered ! Workspace needs to be more robust and visible with ability to create a workspace for each project. Workspace needs more project tools - ability to add notes to a track …tag it… mention project status (WIP, Ready for Mastering, Quality Rating etc) 

- make it easier to combine multiple songs into an album or EP",1
80,official,"This is incredible. Now, all the musical ideas that are running through my head, I just have to sing at the intonation I want and transform my sung melody into instrumental sounds while keeping that same intonation. We live in a wonderful era.",0
81,official,"You guys deserve very bit of success you have coming to you. This is truly a leap forward. The phrase game changer is so overused in modern society. To the point that it is almost unilaterally dismissed as a marketing sound bite. But, outside of stems themselves, I can't recall the last thing in the music industry that so deserved the label of game changer as much as Suno Studio does.",1
82,official,"I would like SUNO STUDIO with the PRO plan too, please.",7
83,official,"This is where the new age of producers come through, release AMAZING hits and us old guys accuse them of being less talented and yada yada.",1
84,official,Who the heck are you guys????? You blow me away! The features you are creating are developing into its own world. The possibilities are just incredible. Mazel tov to you guys!!!,1
85,official,"This is awesome! I've had songs stuck in my head for 30+ years and since getting SUNO a week ago I've already created like 12 songs across many genres, country, rap, r&b, also including back to my love of the late 90's early 2000's golden era of alternative. I've been banging my head against the wall though when wanting to add in other instruments etc to add the final touch, and I'm beyond excited to see that STUDIO allows you to do just that to finish up with those missing elements. I will say that sometimes when I create a song, there are elements (like the cadence or specific instruments) that I love and want to keep, but use the COVER option to expand and see variations. Would be great if you could lock certain elements (stems) down so they DO NOT change while other elements do. Otherwise, it looks like it's the workaround of combining stems to songs from other covers etc., which tediously works, but overall this truly is a great product and keep up the good work!",1
86,official,Amazing ! Now we can make more pseudo artistic zombies without any knowledge about composing and producing. Nice work! Let's be more generative! Good job!,5
87,official,Now this is what the real mean the use of AI that contributing to process of creativity especially in music. A BIG GAME CHANGER 🔥🔥 🔥.,1
88,official,Wow this is incredible. I learned a bunch about the UI. Thanks for the great video.,4
89,official,More videos like this! Especially around prompting!,4
90,official,"I'm a Premium subscriber. I want to thank you for this incredible software. It's an unbelievably helpful, valuable, and exciting tool. There are a few things I am hoping for in the near future. The first is the ability to keep the track, and/or vocals the same as you iterate. When I almost have exactly what I want, I have found it impossible to get the same take, but with updated lyrics, even using the Audio 100% setting, and prompting for the exact same tonality, phrasing, vibrato, pitch, and expression of the vocalist. The second request is to be able to provide a karaoke version, rather than only an altered cover. Essentially, I'd love a note-for-note reproduction of the track, but with Suno v5's updated sounds, mix, and mastering. I have many old beats, and riffs which will sound much better, and much more natural with your software's sounds. I just don't want it to unexpectedly 'creatively' change scales/modes on me. The last request has to do with timing the vocals. It's most evident in rap tracks. Suno can't know where I want the syllables to land, so would it be possible to provide a bar/timing grid so we can dictate where the words land, and achieve the rhythm we desire? I know this can be done currently by recording a performance of the rap, then converting it, but it would be helpful not to need to perform that step. Once again, I'm so appreciative for what it offers already. Please see this simply as feedback, not as criticism, or a complaint.",30
91,official,"Thanks for this lovely and helpful episode! Honestly, Sono Studio is enjoyable and has impressive capabilities, but it still lacks support for Arabic scales and Gulf/Yemeni percussion. We truly hope to see these features added in the next update.",1
92,official,That's absolutely insane. It takes me months to record a song and with these tools I can 10x everything,0
93,official,"we're living in the era of technology abstracted as magic, this is beautiful",0
94,official,"This is awesome!  I just started using Suno and I'm so impressed by it.  I'd love to see more tutorials - starting from scratch (I've never used a DAW before, but I play multiple instruments).  I really want to learn to use this program but it's a bit overwhelming at first.  Also, I'd love it if it could print the sheet music for different stems (or all the stems, orchestra style) so that I can learn them.  I'm still better at reading music than I am at listening and interpreting it.

Are there online courses we can take?  How can I learn to get better at this?",1
95,official,"I would like to see a feature where once you have your audio recorded in, like you did with your vocal, to then  write a prompt and it generates the versions right there in a new track that can be expanded to show the versions or stems if needed. Think track takes and comps.",0
96,official,"First of all: WTF?! This is amazing. Huge congrats and many thanks for making this happen, guys. This is amazing! One question, if I may: I sometimes got melodies or harmonies in my head that I want to use in a song. The problem being: I can't sing. :D Is there any way for me to record audio and Suno will make it clean and right, hitting all the notes and amending my horrible voice? Thank you so much. Keep up the good work!",2
97,official,"Hi Suno Team,

I love using your platform to generate music from my lyrics, but I often wish there were a way to see the chord progressions being used in the generated tracks. Having chords displayed would make it so much easier to bring the song straight to a band and start playing it live without having to figure everything out by ear.

This feature would be an incredible addition—especially for the new Pro Version 5—since it bridges the gap between digital creation and live performance. It would add real value for musicians who want to collaborate, rehearse, or build arrangements quickly.

Thanks for considering this!",0
98,official,Let me start by saying Suno is the future! We need access to the real multi track versions of the audio generated songs and not the so called stems.... for audio integrity and effects control. We need the ability to fine tune vocal phrases to our liking and not relying on a new generation of a section. Personas could better bcz the idea of A.I. Artist is about to be crazy so we (i) need that to be 100%. This Technology has me excited again.,5
99,official,It's so neat and perfect in this example with all stems perfectly separated. When I do it the studio struggles with separating the different elements and mix instruments in same stem. The intruments even swap stems with eachother so you can't turn of the violin because that is also in the harp stem and in the vocal stem etc. Still alot of work to be done here. If I had know this I would have waited with the upgrade.,0
100,official,"I truly enjoy using Suno, and I appreciate the innovation it brings. I would like to suggest adding the option to upload a MIDI melody in a future update—hopefully in the near term. This would allow users to provide their own MIDI-formatted melodies along with lyrics, enabling Suno to generate the musical arrangement around them. Since I can’t sing, this feature would be especially valuable for me.",0
101,official,"Man awesome tutorial. Here are some suggestions:
1. Make Suno a standalone app so you don’t have to rely on a connection and to help make workflow more efficient
2. Allow Suno studio to use AU and VST plugins. 
3. Be able to prompt effects onto your instruments or vocal tracks
    - example if I record my vocals into Suno studio I can prompt a vocal chain onto the track, my prompt would be vocal chain using U87, Valhalla vintage verb, LA-2A compressor, Antares auto tune. Something like that
4. Maybe when you create an entire song it could create the song with the stems already split maybe to decrease the amount of artifacts in the song

I know this is just the beginning but thank you guys for not only making a product for people that don’t know how to make or play music but also for those that have been musicians and artists for years. If you find a way to gear it specifically to artists and musicians I think the music industry will receive it better. 🤙🏽",5
102,official,"Suno, since version 5—especially with the cover feature—your audio quality has seriously declined. The highs, particularly around 8 kHz, turn into piercing whistles that are unbearable on both acoustic and electric guitars. It’s harsh, artificial, and nowhere near the depth or realism of a real instrument.",0
103,official,"Hello SUNO team , my account 'rbabu4334' got downgraded from PRO to Free plan while trying to upgrade to Premiere plan. I lost all the PRO credits within a week of purchasing. Unable to use the app for the last 2 days and I'm waiting for your response to my email. Please help soon!",0
104,official,"Dear Suno Team, I wanted to take a moment to sincerely thank you for creating this incredible platform. Your work is becoming part of the anthem of the Iranian revolution. Through Suno, we've been able to express our deepest feelings, our grief, our hope, and our defiance in ways we never thought possible. For Iranians fighting for freedom—both inside Iran and in the diaspora—music has always been a powerful form of resistance. But many of us aren't professional musicians. Suno has given us a voice. It has allowed us to take the timeless poetry of legends like Simin Behbahani and bring it to life with music that captures the soul of our struggle. https://youtu.be/ekGy3-a8_3o?si=bD498... The songs we're creating aren't just entertainment—they're rallying cries, memorials to the fallen, and promises to those still fighting. They're being shared at protests, posted on social media, and played in homes where people are grieving and hoping at the same time. In one of the darkest chapters of our history, you've given us a tool to create light. Thank you for making this technology accessible. Thank you for believing that everyone deserves to express themselves through music. And thank you for being part of our fight for freedom, even if you didn't know you were. With deep gratitude and hope,",0
105,official,"Just curious, does anyone know if you are able to upload a couple of videos into the app to give it ideas of guitar rhythms/tones and vocal styles?",0
106,official,"need to improve hi hats in electronic music, it's horrible! Fake textures and low punchy noisy songs!!! Aff impossible to craft a decent good one house to export!! Low quality, low punch, low quality stems, repetitive synths pattern without variation! The same kick drum pattern, repetitive boring! Every song sounds the same",0
107,official,"I am premiere subscriber of suno. I noticed sudden Drastic change in quality of voice and music also. In Early feb it was more human but suddenly since 1 week every model starts sounding more robotic, even music quality also drastically got dropped. What's the reason? Can you guys look into this? Persona sounds valid only for first 20-30 second after that, persona sound quality also getting dropped.",2
108,official,"ATTENTION!!!!!!!!!! Does Suno keep my demo composition and melody confidential, not sharing it with anyone? Or does it take that melody and offer it to someone else when they click on the AI music creation button? Because I came up with that melody, and I want to sell it to a singer, but I'm afraid that if I sing it there, it will give that melody to someone else, and I will lose the song that I created myself?????????????? P/s: Actually, there are many people who have the same question as I do, and we really want an official response from Suno on this issue?? WE WAITING FOR YOUR OFFICIAL ANSWER...",3
109,official,quickly remix this with random genre from genre wheel,
110,official,When will the new version be released,
111,official,"Suno is really not going to replace any thing because as pro subscribe I realised that music is not what sounds good actually it's sound which we like to like means it's AI song which may be Tommorow sound like heavenly but it's will be never touch the even feet of what is made by what we like, little tricky terms",1
112,official,"Hi Suno, how do you extend the beginning of a song? I can extend the ending easily but not the beginning. It ends up replacing the whole song. I just want an instrumental start and keep the rest of the song the same. I don't know what to do. Is there a way to extend the beginning of a song? Thanks!",1
113,official,"Suno is really not going to replace any thing because as pro subscribe I realised that music is not what sounds good actually it's sound which we like to like means it's AI song which may be Tommorow sound like heavenly but it's will be never touch the even feet of what is made by what we like, little tricky terms",1
114,official,"Hi Suno, how do you extend the beginning of a song? I can extend the ending easily but not the beginning. It ends up replacing the whole song. I just want an instrumental start and keep the rest of the song the same. I don't know what to do. Is there a way to extend the beginning of a song? Thanks!",1
115,official,"Suno, since version 5—especially with the cover feature—your audio quality has seriously declined. The highs, particularly around 8 kHz, turn into piercing whistles that are unbearable on both acoustic and electric guitars. It’s harsh, artificial, and nowhere near the depth or realism of a real instrument.",0
116,official,"Great ideas, congratulations team! Greetings from ""over 15 months"" AI music videos creator :)",0
117,official,"Hey Suno, quick request. I’m an R&B songwriter and I love the Cover feature in Suno Studio. One issue I’ve noticed is that when I record my own vocals and try to cover the flow, the persona sometimes switches to a different voice instead of keeping the original singer from the song. It would be amazing if we could select which persona is used when covering a recording. That update would be epic.",12
118,official,This is an affront to humanity and the creative spirit,1
119,official,Deberían de poner nuevamente que se pueda crear personas desde canciones en extensión y desde covers. Es un bug o algo pero no se puede crear una voz propia con esas canciones y antes si se podía.,1
120,official,When your ad is right on the line between legit and a SNL digital short,7
121,official,"Does Suno keep my demo composition and melody confidential, not sharing it with anyone? Or does it take that melody and offer it to someone else when they click on the AI music creation button? Because I came up with that melody, and I want to sell it to a singer, but I'm afraid that if I sing it there, it will give that melody to someone else, and I will lose the song that I created myself??? P/s: Actually, there are many people who have the same question as I do, and we really want an official response from Suno on this issue????? P/s: Suno is so AMAZING anyway!!!",2
122,official,Is there anywhere I can find the full song that's featured at the end of in this My First Kiss commercial?,2
